id,name,aliases,origin,region,target_countries,target_industries,update_time,description_zh,ioc_count,event_count
22,肚脑虫,Mint Tempest | Origami Elephant | SectorE02 | Donot Team | Donot | APT-C-35 | APT-Q-38,印度,南亚,英国 | 巴基斯坦 | 孟加拉 | 印度 | 阿根廷 | 多哥 | 尼泊尔 | 阿拉伯联合酋长国 | 泰国 | 菲律宾 | 斯里兰卡 | 中国,公共管理 | 社会保障 | 社会组织 | 国际组织,2025/7/8,肚脑虫（APT-Q-38/APT-C-35）是一支具有南亚背景的国家级APT组织，主要针对巴基斯坦、中国、印度克什米尔地区、斯里兰卡、泰国等南亚国家及地区的政府机构、国防军事部门及商务领域重要人士实施网络间谍活动。其攻击手法以鱼叉邮件、恶意文档、钓鱼网站和伪装应用为主，具备对Windows与Android平台攻击的双平台能力。典型案例包括伪装在线聊天工具RapidChat的移动端钓鱼攻击，以及利用克什米尔地区相关诱饵文档的攻击。此组织的网络基础设施与其他南亚攻击组织存在重叠，可能与更高层次机构相关联。攻击流程中常使用多阶段下载器、中间组件自删除等规避检测手段，恶意代码框架包括EHDevel和yty。,100,23
23,腾云蛇,Tengyun Snake | APT-C-61 | APT-Q-42,印度,南亚,巴基斯坦 | 尼泊尔,,2021/1/17,腾云蛇组织（APT-C-61）是一个主攻南亚地区的网络攻击威胁组织，首次活动痕迹可追溯至2020年1月。其主要目标集中在巴基斯坦、孟加拉等国家的国家机构、军工、科研及国防领域，通过鱼叉邮件配合社会工程学手段渗透目标网络。该组织采用Python编写的恶意程序，结合云服务平台（如谷歌云盘、PythonAnywhere、Heroku）进行C2通信及数据窃取，技术特征包括利用DDE漏洞的文档附件、白文件工具（如7za.exe、rclone.exe）进行文件压缩与上传，以及数据加密技术（十进制数转换与Base64编码）。攻击流程包括传递恶意载荷、持久化、扫描与上传敏感文件，攻击手法与南亚其他APT组织（如蔓灵花、响尾蛇）存在显著差异。,32,1
24,艾叶豹,雪豹 | Snow leopard,未知,南亚,巴基斯坦,服务业,2021/7/27,艾叶豹（SnowLeopard）是奇安信病毒响应中心披露的国家级APT攻击组织之一。该组织被描述为具有南亚某国军方背景的高级持续性威胁团体，主要通过移动端攻击手段针对政府、军事等领域发起间谍活动。组织的攻击行为主要集中在巴基斯坦、阿联酋、尼泊尔等南亚及周边国家，具有明显的军事意图。攻击手段包括鱼叉式钓鱼、水坑攻击等，伪装成小众聊天应用在社交平台进行传播，具体技术细节未在公开报告中详细披露，目前仍处于活跃状态。,17,1
25,蔓灵花,APT-C-08 | Bitter | BITTER | APT-Q-37 | TA397 | T-APT-17 | G1002,印度,南亚,巴基斯坦 | 中国 | 沙特阿拉伯 | 孟加拉国,政府,2025/11/7,蔓灵花（BITTER）是南亚背景的高级持续性威胁组织，自2013年11月起活跃，主要针对中国及巴基斯坦的政府、军工、核电、电力及进出口相关部门进行网络攻击，目标窃取敏感信息。其攻击手法包括鱼叉钓鱼邮件投递恶意CHM文件、利用Office漏洞文档（CVE-2012-0158、CVE-2017-11882等）、后续下载MSI文件安装远控程序wmRAT等工具。组织与南亚其他攻击组织（如摩诃草Patchwork）存在关联，近年进一步发展C#编写的远控程序，并具有中文语境化操作特征（如回连域名包含中文拼音）。,100,30
26,黄金雕,APT-C-34 | DustSquad | G0133 | APT-Q-90 | Golden Falcon | Nomadic Octopus,哈萨克斯坦,东欧,俄罗斯 | 阿富汗,政府 | 外交,2019/10/20,黄金雕（APT-C-34）是高度组织化的网络攻击组织，主要活跃于中亚地区，尤其集中在哈萨克斯坦。该组织使用社会工程学、物理接触攻击及高端网络军火（如HackingTeam和NSO技术）进行窃取敏感信息的网络间谍活动。其攻击目标涵盖教育机构、政府机关、科研人员、媒体从业者及宗教人士等多个领域，部分受害者涉及中国背景的合作项目。典型攻击手法包括通过伪装文档诱导鱼叉攻击、物理设备投递恶意程序（如U盘）、利用无线电侦察设备获取信号，以及采购零日漏洞的高级入侵工具。其背后疑似有政府实体支持，与俄语系技术人员存在关联。,0,1
27,透明部落,C-Major | Green Havildar | Mythic Leopard | Barmanou | ProjectM | G0134 | Earth Karkaddan | Opaque Draco | APT36 | Storm-0156 | STEPPY-KAVACH | Copper Fieldstone | APT-C-56 | Operation C-Major | Transparent Tribe | TEMP.Lapis | SideCopy | Side Copy,巴基斯坦,南亚,印度 | 阿富汗,外交,2024/4/10,透明部落是2016年被Proofpoint披露的网络攻击威胁组织，主要针对南亚国家政府、军事机构及相关组织。其攻击手法结合社会工程与恶意软件，通过诱饵文档（DOC/XLS）投放VBA宏，触发CrimsonRAT、PeppyRAT等远控工具窃取信息。2019-2020年活动升级，扩大对阿富汗的攻击范围，包括移动端感染。近期样本展示C2服务器IP（96.47.234.102）通过多端口通信，采用图片文件图标伪装的创新诱骗手段。其组织背景与Gogron Group存在关联。,100,45
28,盲眼鹰,APT-C-36 | TAG-144 | APT-Q-98 | G0099 | BlindEagle | AguilaCiega,未知,南美洲,哥伦比亚,政府 | 能源 | 金融 | 制造业 | 交通运输,2025/4/25,APT-C-36 是一个疑似南美间谍组织，至少自 2018 年以来一直活跃。该组织主要针对哥伦比亚政府机构以及金融业、石油业和专业制造业的重要企业。,100,20
29,索伦之眼,ProjectSauron | G0041 | Strider | Sauron | APT-C-16,美国,北美洲,俄罗斯 | 中国 | 伊朗 | 比利时 | 瑞典,,2025/4/25,Strider 是一个威胁组织，至少自 2011 年以来一直活跃，其目标是俄罗斯、中国、瑞典、比利时、伊朗和卢旺达的受害者。,100,3
30,摩诃草,Patchwork | Hangover Group | Dropping Elephant | Chinastrats | MONSOON | Operation Hangover,印度,南亚,斯里兰卡 | 日本 | 拉托维亚 | 巴基斯坦 | 挪威 | 韩国 | 英国 | 约旦 | 法国 | 印度尼西亚 | 俄罗斯 | 孟加拉 | 缅甸 | 波兰 | 伊朗 | 泰国 | 印度 | 巴拿马 | 乌克兰 | 新加坡 | 土耳其,政府 | 教育 | 外交,2025/10/21,摩诃草（Patchwork）是一个网络间谍组织，首次被发现于 2015 年 12 月。虽然该组织的归属尚未明确，但间接证据表明该组织可能是亲印度或印度实体。 Patchwork 已被视为针对与外交和政府机构相关的行业。该小组使用的大部分代码都是从在线论坛复制和粘贴的。 2018 年 3 月和 4 月，Patchwork 还被发现针对美国智库组织开展了鱼叉式网络钓鱼活动。,100,37
31,方程式,Platinum Colony | G0020 | Five Eyes | Equation Group | EQGRP | Tilded Team | Equation | APT-C-40 | NSA,美国,北美洲,苏丹 | 约旦 | 叙利亚 | 土耳其 | 奥地利 | 韩国 | 日本 | 法国 | 波兰 | 西班牙 | 黎巴嫩,娱乐业 | 服务业 | 金融 | 服务业 | 制造业,2025/10/20,该组织被广泛认为是全球最专业的网络攻击组织之一，活跃时间长达20年（首次观察到自2001年）。其技术特点包括复杂的攻击组件库、高度模糊处理能力、硬盘固件植入能力以及远程控制系统。主要攻击手段包括双重渗透（DoubleFantasy前置组件+后续注入更复杂模块）、硬盘固件重编程（如Fanny和GrayFish模块）、以流氓实体伪装的恶意代码（如DanderSpritz平台）、以及通过篡改光盘/数据流传递恶意负载。受害者遍布至少42个国家，行业覆盖能源、政府、金融等敏感领域。2015年卡巴斯基实验室首次公开其存在，并推测其与美国NSA存在关联。,100,4
32,Darkhotel,寄生兽 | Purple Pygmy | Inexsmar | TieOnJoe | Luder | Fallout Team | Tapaoux | Nemim | Zigzag Hail | APT-C-06 | Karba | DUBNIUM,韩国,东亚,美国 | 孟加拉国 | 中国 | 阿拉伯联合酋长国 | 印度 | 莫桑比克 | 德国 | 英国 | 泰国 | 日本 | 朝鲜 | 俄罗斯,零售/餐饮,2024/1/8,Darkhotel 是一个疑似韩国威胁组织，至少自 2004 年以来主要针对东亚地区的受害者。该组织的名称来源于通过酒店互联网针对旅行高管和其他特定客人进行的网络间谍活动。 Darkhotel 还开展鱼叉式网络钓鱼活动，并通过点对点和文件共享网络感染受害者。,100,13
33,APT33,HOLMIUM | Elfin | Peach Sandstorm,伊朗,中东,美国 | 韩国 | 沙特阿拉伯,能源 | 航空航天,2024/4/11,APT33 是一个疑似伊朗威胁组织，至少从 2013 年起就开始开展活动。该组织的目标是美国、沙特阿拉伯和韩国多个行业的组织，尤其对航空和能源领域感兴趣。,100,11
