dga_family,actor_name,actor_aliases,relationship_type,attribution_status,confidence,source_name,source_url,notes
matsnu,Avalanche network operators,,hosted_on_crimeware_infrastructure,possible_actor,0.45,BSI Matsnu/Avalanche profile,https://www.bsi.bund.de/EN/Themen/Verbraucherinnen-und-Verbraucher/Cyber-Sicherheitslage/Methoden-der-Cyber-Kriminalitaet/Botnetze/Botnetz-Avalanche/Malware/Matsnu/Matsnu.html,BSI places Matsnu in the Avalanche botnet/crimeware context. Treat as infrastructure ecosystem lead.
necro,Keksec,Kek Security,malware_used_by_actor,possible_actor,0.65,Fortinet Keksec and Necro,https://www.fortinet.com/resources/articles/keksec-tsunami-ryuk,Fortinet reports Keksec leveraging and updating the DGA algorithm used by Necro Python malware.
necro,Freak/Fl0urite,Necro;FreakOut;N3Cr0m0rPh,malware_author_or_operator,possible_actor,0.55,Malpedia N3Cr0m0rPh,https://malpedia.caad.fkie.fraunhofer.de/details/py.n3cr0m0rph,Malpedia says the Necro/FreakOut bot was written by author Freak/Fl0urite. Treat as malware author/operator lead.
necurs,Necurs operators,,botnet_operator,reported_operator,0.65,Microsoft Necurs botnet disruption,https://blogs.microsoft.com/on-the-issues/2020/03/10/necurs-botnet-cyber-crime-disrupt/,Microsoft described criminals behind the Necurs network. Operator identity is not named in this row.
necurs,MONTY SPIDER,Spandex Tempest,associated_malware_family,possible_actor,0.70,Malpedia MONTY SPIDER,https://malpedia.caad.fkie.fraunhofer.de/actor/monty_spider,Malpedia lists Necurs as an associated family for MONTY SPIDER. Keep as actor-family lead.
necurs,TA505,Hive0065;Spandex Tempest;CHIMBORAZO,spam_infrastructure_used_by_actor,possible_actor,0.60,Proofpoint TA505 profile,https://www.proofpoint.com/us/threat-insight/post/threat-actor-profile-ta505-dridex-globeimposter,Proofpoint notes TA505 used the Necurs botnet for massive spam campaigns. This is an infrastructure-use lead.
newgoz,GameOver Zeus operators,Evgeniy Bogachev;Slavik;lucky12345;GOLD EVERGREEN,codebase_or_successor_variant,possible_actor,0.50,Cybereason NewGOZ/GameOver Zeus,https://www.cybereason.com/blog/the-fbi-vs-gameover-zeus-why-the-dga-based-botnet-wins,NewGOZ was reported as a post-takedown GameOver Zeus-like strain. Original operator involvement remains uncertain.
nymaim,NARWHAL SPIDER,GOLD ESSEX;Storm-0302;TA544,spam_service_customer_or_distribution_overlap,possible_actor,0.45,CrowdStrike NARWHAL SPIDER,https://www.crowdstrike.com/en-us/adversaries/narwhal-spider/,CrowdStrike reporting describes NARWHAL SPIDER's spam-service ecosystem and customer base including Nymaim-related distribution context. Do not treat as malware ownership.
pandabanker,BAMBOO SPIDER,,malware_developed_by_actor,confirmed_actor,0.85,CrowdStrike BAMBOO SPIDER,https://www.crowdstrike.com/en-us/adversaries/bamboo-spider/,CrowdStrike tracks BAMBOO SPIDER as the criminal group behind core development of Panda Zeus.
pandabanker,TA544,NARWHAL SPIDER;GOLD ESSEX;Storm-0302,malware_used_by_actor,possible_actor,0.70,Proofpoint TA544 profile,https://www.proofpoint.com/us/threat-insight/post/threat-actor-profile-ta544-targets-geographies-italy-japan-range-malware,Proofpoint began tracking TA544 from malicious email campaigns targeting Italian customers using Panda Banker.
pushdo,NARWHAL SPIDER,GOLD ESSEX;Storm-0302;TA544,spam_infrastructure_operated_by_actor,possible_actor,0.60,CrowdStrike NARWHAL SPIDER,https://www.crowdstrike.com/en-us/adversaries/narwhal-spider/,CrowdStrike says Cutwail v2 is operated by NARWHAL SPIDER and delivered through the Pushdo loader. Infrastructure lead.
pushdo,TIDAL SPIDER,,spam_infrastructure_operated_by_actor,possible_actor,0.55,CrowdStrike TIDAL SPIDER,https://www.crowdstrike.com/en-us/adversaries/tidal-spider/,CrowdStrike describes a separate Cutwail version run by TIDAL SPIDER and delivered through Pushdo. Infrastructure lead.
qadars,FIN7,,reported_tool_overlap,possible_actor,0.45,Malpedia Qadars,https://malpedia.caad.fkie.fraunhofer.de/details/win.qadars,Public reporting references Qadars in FIN7 context but this is not strong enough for direct APT attribution.
qakbot,GOLD CABIN,,malware_used_by_actor,possible_actor,0.75,Malpedia QakBot,https://malpedia.caad.fkie.fraunhofer.de/details/win.qakbot,Malpedia lists GOLD CABIN as an actor for QakBot.
qakbot,TA570,DEV-0450,affiliate_or_distribution_actor,possible_actor,0.60,Malpedia TA570,https://malpedia.caad.fkie.fraunhofer.de/actor/ta570,Malpedia describes TA570 as one of the most active QBot malware affiliates.
qakbot,TA577,Hive0118,distributed_malware,possible_actor,0.55,MITRE ATT&CK TA577,https://attack.mitre.org/groups/G1037/,"MITRE says TA577 has distributed QakBot. This is a distribution lead, not proof the family is owned by TA577."
ramnit,TA554,,dropper_distributed_malware,possible_actor,0.55,Cybereason Ramnit via sLoad,https://www.cybereason.com/blog/research/banking-trojan-delivered-by-lolbins-ramnit-trojan,Cybereason cites Proofpoint reporting that TA554 used the sLoad dropper to distribute Ramnit. Distribution lead only.
simda,Simda operators,,botnet_operator,reported_operator,0.45,Kaspersky Simda disruption,https://www.kaspersky.com/about/press-releases/kaspersky-lab-joins-forces-with-interpol-industry-and-law-enforcement-partners-to-disrupt-simda-botnet,Kaspersky/INTERPOL reporting describes efforts to identify actors behind Simda. Operator identity is not named.
tinba,Tinba operators,,malware_family_operator,reported_operator,0.35,F5 Tinba DGA,https://www.f5.com/labs/articles/tinba-malware-domain-generation-algorithm-means-new-improved-and-persistent-22440,F5 describes Tinba/TinyBanker DGA behavior and criminal customization after source-code leakage. No stable public actor name is stored.
tofsee,Tofsee operators,Gheg,botnet_operator,reported_operator,0.40,Cisco Talos Tofsee,https://blog.talosintelligence.com/tofsee-spam/,Cisco Talos describes Tofsee spam botnet behavior. Operator identity is not named.
tofsee,PrivateLoader operators,ruzki,loader_distributed_malware,possible_actor,0.45,Bitsight Tofsee botnet,https://www.bitsight.com/blog/tofsee-botnet-proxying-and-mining,"Bitsight observed Tofsee distributed by PrivateLoader/ruzki, a malware distribution service. Distribution lead only."
torpig,Torpig/Mebroot operators,,botnet_operator,reported_operator,0.45,UCSB Torpig botnet takeover,https://sites.cs.ucsb.edu/~chris/research/doc/spmagazine11_torpig.pdf,Academic botnet takeover analysis describes Torpig/Mebroot botnet operation. No stable named actor is stored.
urlzone,TA544,NARWHAL SPIDER;GOLD ESSEX;Storm-0302,malware_used_by_actor,possible_actor,0.75,Proofpoint TA544 profile,https://www.proofpoint.com/us/threat-insight/post/threat-actor-profile-ta544-targets-geographies-italy-japan-range-malware,Proofpoint reports TA544 campaigns distributing or focusing on URLZone banker among other payloads.
urlzone,NARWHAL SPIDER,GOLD ESSEX;Storm-0302;TA544,spam_campaign_distributed_malware,possible_actor,0.70,CrowdStrike Cutwail URLZone,https://www.crowdstrike.com/en-us/blog/cutwail-spam-campaign-uses-steganography-to-distribute-urlzone/,CrowdStrike observed a NARWHAL SPIDER Cutwail spam campaign distributing URLZone.
vawtrak,Neverquest operators,Snifula;Vawtrak,crimeware_service_operator,reported_operator,0.45,Virus Bulletin Neverquest,https://www.virusbulletin.com/conference/vb2016/abstracts/neverquest-crime-service-and-hunt-big-bucks,Neverquest/Vawtrak is described as crime-as-a-service. Use as operator/ecosystem line only.
virut,Virut operators,,botnet_operator,reported_operator,0.45,Spamhaus Virut botnet,https://www.spamhaus.org/resource-hub/malware/cooperative-efforts-to-shut-down-virut-botnet/,Spamhaus describes domains registered by Virut operators and a pay-per-install business model.
zeus,GameOver Zeus operators,Evgeniy Bogachev;Slavik;lucky12345,malware_operated_by_actor,reported_operator,0.65,U.S. DOJ Operation Tovar,https://www.justice.gov/archives/opa/pr/us-leads-multi-national-action-against-gameover-zeus-botnet-and-cryptolocker-ransomware,DOJ Operation Tovar ties GameOver Zeus operations to named alleged operators. General Zeus remains a shared malware family.
zeus,GOLD EVERGREEN,The Business Club;GameOver Zeus operators,malware_used_by_actor,shared_tool,0.60,Malpedia GOLD EVERGREEN,https://malpedia.caad.fkie.fraunhofer.de/actor/gold_evergreen,"GOLD EVERGREEN operations used Zeus, JabberZeus and GameOver Zeus. Zeus itself is widely shared, so mark as shared tool context."
zeus_newgoz,GameOver Zeus operators,Evgeniy Bogachev;Slavik;lucky12345;GOLD EVERGREEN,codebase_or_successor_variant,possible_actor,0.50,Cybereason NewGOZ/GameOver Zeus,https://www.cybereason.com/blog/the-fbi-vs-gameover-zeus-why-the-dga-based-botnet-wins,Zeus NewGOZ is treated as a post-takedown GameOver Zeus-like variant. Original operator involvement remains uncertain.
zloader,ZLoader / Silent Night operators,Terdot;DELoader;Silent Night,malware_as_a_service_operator,reported_operator,0.45,Zscaler ZLoader analysis,https://www.zscaler.com/blogs/security-research/zloader-no-longer-silent-night,Zscaler notes ZLoader was advertised under the Silent Night name in underground forums. Operator identity is not named.
zloader,MalSmoke,,malware_used_in_campaign,possible_actor,0.55,WIRED ZLoader MalSmoke campaign,https://www.wired.com/story/zloader-microsoft-signature-verification-hack,WIRED/Check Point reporting attributed one ZLoader campaign to MalSmoke based on infrastructure and history. Campaign-level lead only.
